Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Máximo,Mínimo,Promedio
3.09151,3.08246,3.07547,3.02768,3.02267,3.78129,3.08577,2.81203,2.87179,3.20967,3.55827,3.0595,3.20251,3.00164,2.87271,3.53837,2.96555,3.17988,2.80161,3.05624,3.78129,2.80161,3.114831
3.76357,3.7577,3.73793,3.68668,3.66877,4.21646,3.73565,3.55048,3.64488,3.77534,4.23387,3.73659,3.68608,3.84319,3.78204,4.2934,3.65699,3.95198,3.69808,3.70643,4.2934,3.55048,3.8063055
3.92556,3.92069,3.91744,3.85222,3.8644,4.25218,3.90611,3.88906,3.93296,3.92805,4.21602,3.82813,3.8454,3.60786,3.8781,4.12956,3.83909,4.00197,3.9141,3.88102,4.25218,3.60786,3.926496
4.20535,4.17146,4.17059,4.10886,4.11612,4.14321,4.112,4.11773,4.1338,4.24106,4.59054,4.08408,4.10791,3.89246,4.12684,4.62097,4.10268,4.23293,4.11295,4.1274,4.62097,3.89246,4.175947
4.20647,4.21039,4.20948,4.12941,4.15293,4.1419,4.12972,4.12594,4.09382,4.18002,4.3318,4.13404,4.15255,3.97943,4.14601,4.4303,4.08444,4.25524,4.14211,4.15783,4.4303,3.97943,4.1696915
4.23275,4.22919,4.21014,4.15938,4.17951,4.15519,4.16031,4.15116,4.17691,4.20247,4.63504,4.17392,4.17792,4.05618,4.17015,4.36176,4.13876,4.27981,4.1768,4.18208,4.63504,4.05618,4.2104715
5.18045,5.18513,5.15523,5.10278,5.10136,5.0836,5.09322,5.08694,5.09188,5.14701,5.21673,5.10231,5.12503,4.78916,5.12004,5.3983,5.03806,5.27798,5.12172,5.11721,5.3983,4.78916,5.126707
5.23242,5.21599,5.20213,5.11841,5.11913,5.10849,5.11566,5.11336,5.11902,5.18056,5.03314,5.13279,5.1376,4.80118,5.14343,5.46874,5.10599,5.31985,5.14129,5.14381,5.46874,4.80118,5.1476495
5.24369,5.21143,5.25991,5.14555,5.14546,5.11385,5.14882,5.13789,5.14007,5.20233,4.99629,5.15611,5.16206,4.85643,5.16109,5.46731,5.12948,5.3422,5.16688,5.17346,5.46731,4.85643,5.1680155
39.3914,39.3028,39.225,38.6261,38.7026,42.2681,38.7493,38.4609,38.6851,39.0541,41.5874,38.6877,38.6542,34.5475,38.7019,40.6521,38.2361,39.8382,38.2557,38.8977,42.2681,34.5475,39.026195
39.9877,39.5847,39.9038,39.246,39.6281,42.3169,39.1748,38.9521,39.0731,38.792,42.0325,39.1789,39.1532,35.4009,39.1502,41.6976,38.954,40.3789,36.1211,39.4553,42.3169,35.4009,39.40909
36.6909,36.4621,39.9485,39.2741,39.9104,41.6394,39.3953,39.1215,39.2515,37.6566,42.4314,39.3747,39.3545,35.102,39.3616,42.7133,39.1768,40.5546,36.2312,39.6345,42.7133,35.102,39.164245
36.7551,36.4831,38.116,39.2648,39.9816,38.7376,39.354,39.0675,39.2013,37.8098,41.7068,39.7007,39.9703,35.2598,39.6589,42.5902,39.3148,40.4162,36.2441,39.533,42.5902,35.2598,38.95828
36.8822,36.772,36.6924,39.3753,40.0223,38.3594,39.4406,39.2997,39.2647,38.0306,38.0906,40.1629,40.0821,38.6847,38.7141,43.0653,39.5059,40.5286,36.6833,39.7214,43.0653,36.6833,38.968905
36.8897,36.5997,36.6454,39.4725,40.0951,38.9559,39.6976,39.5128,39.533,38.1724,38.1434,40.2944,40.2191,39.0995,38.3358,43.1485,39.6671,40.7314,36.5705,39.8834,43.1485,36.5705,39.08336
38.1013,37.7915,37.8742,40.6581,41.0588,39.3594,40.7045,40.4784,40.4227,39.0864,39.1828,41.2427,41.2379,40.0458,39.2908,44.2275,40.7189,41.719,37.4116,40.908,44.2275,37.4116,40.076015
38.2973,37.6461,37.8612,40.5569,40.8395,39.7291,40.7322,40.5661,40.7082,39.1882,39.449,41.2317,41.3998,40.1855,39.3799,44.385,40.8895,41.8284,37.4229,41.0316,44.385,37.4229,40.166405
38.2,37.9277,38.0624,38.9758,42.3523,39.2698,40.8534,40.6595,40.5997,39.2882,39.4525,41.2365,41.4822,40.3045,39.4633,44.3916,40.9687,41.9449,37.6772,40.0684,44.3916,37.6772,40.15893
130.896,122.903,123.674,132.281,149.051,134.201,139.841,139.48,133.256,133.708,139.213,134.431,141.56,140.354,134.307,154.34,139.421,143.672,127.224,149.488,154.34,122.903,137.16505
129.895,121.653,122.291,132.435,123.191,138.526,133.447,139.323,132.56,134.029,139.658,134.478,142.166,136.489,134.481,144.231,133.285,144.116,125.774,145.112,145.112,121.653,134.357
130.895,121.961,122.652,132.655,123.261,135.924,133.023,132.344,133.401,134.332,140.541,134.521,135.277,133.821,134.657,144.923,133.588,144.363,125.907,146.629,146.629,121.961,133.73375
130.092,121.992,122.654,135.798,123.197,134.648,133.275,132.261,136.19,134.595,139.639,131.542,134.455,140.055,134.598,140.071,133.881,141.691,124.365,132.25,141.691,121.992,132.86245
127.324,121.923,122.523,124.835,122.859,133.908,121.139,128.427,139.818,125.675,134.452,125.978,123.713,138.343,127.563,128.334,126.791,124.661,124.72,118.793,139.818,118.793,127.08895
123.745,121.924,122.431,121.858,122.915,127.591,120.262,119.491,128.031,121.683,130.107,121.562,121.844,133.821,121.737,127.453,121.672,124.356,125.2,118.827,133.821,118.827,123.8255
123.825,122.441,123.382,122.279,123.685,128.501,121.088,120.395,124.766,122.461,132.522,122.462,122.465,132.689,122.376,126.872,122.317,125.458,124.03,119.216,132.689,119.216,124.1615
127.28,122.979,123.848,124.288,124.756,128.586,121.189,120.886,121.838,123,131.467,122.631,122.398,131.848,122.349,127.387,122.356,125.47,123.926,120.503,131.848,120.503,124.44925
136.13,124.584,125.147,123.891,125.725,129.896,122.567,121.37,121.781,123.477,135.133,122.65,122.372,123.712,122.292,126.599,122.473,125.542,124.082,120.83,136.13,120.83,125.01265
,,,,,,,,,,,,,,,,,,,,,,
Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Máximo,Mínimo,Promedio
17046.4,16717.5,16770,16663.2,16628.5,16688,16692,16837.9,16789.8,16697.3,16827.2,16971.5,16810.9,16822.9,16514.9,16983.9,16737.3,16750.2,16811.1,16622.4,17046.4,16514.9,16769.145
16819.6,16702.9,16625,16561.4,16635.7,16601.2,16827.4,16567.5,16510.8,16584.2,16712.9,16654,16431.1,16523.7,16669.3,16418.8,16778.7,16481.5,16618.3,16793.7,16827.4,16418.8,16625.885
16273.4,16579.2,16205.7,16752.2,16392.8,16287.4,16463.9,16400.4,16379,16437.7,16505.8,16473.2,16634.1,16441.5,16315.4,16452.5,16649.4,16696.4,16188.7,16667.8,16752.2,16188.7,16459.825
16500.8,16604.2,16503.2,16594.1,16715.6,16620.8,16708.5,16531.5,16992.3,16532.1,16430.3,16609.8,16431.1,16587.8,16429.9,16647.2,16515.5,16432.6,16507.6,16791.8,16992.3,16429.9,16584.335
