Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Máximo,Mínimo,Promedio
3.20655,3.29405,3.90683,3.20089,3.48062,3.17326,3.63002,3.65022,4.02421,3.44129,3.81049,3.38285,3.52298,3.22037,4.44358,3.12215,4.39154,3.78916,3.49782,3.34793,4.44358,3.12215,3.5768405
4.20825,3.78863,3.97646,3.79698,4.39088,5.31387,4.29694,4.06435,5.22274,5.86053,3.63434,5.22827,4.04172,5.92741,5.22548,5.45514,4.98226,4.23859,5.14034,4.96281,5.92741,3.63434,4.6877995
4.00546,4.55116,4.96437,5.01645,4.89918,7.04625,3.82878,4.61779,6.77502,5.37597,3.71466,6.58855,5.09043,5.88835,5.76379,7.633,7.18741,5.17426,6.08942,5.15303,7.633,3.71466,5.4681665
13.0182,13.3421,12.5079,15.57,14.7416,20.9184,16.1281,16.7858,17.4867,20.3164,11.9798,16.0054,20.2942,20.0229,19.2552,24.0036,18.4632,20.7079,16.7309,19.5145,24.0036,11.9798,17.38964
14.1475,13.6657,13.2172,18.7343,13.6353,21.836,20.1968,19.4852,19.7267,19.1783,17.6211,17.8395,18.7564,16.7964,19.5066,20.3962,18.2847,18.0333,20.199,18.3907,21.836,13.2172,17.982345
14.2696,13.7092,14.9935,19.5771,16.8614,20.4649,20.403,18.2625,18.2157,15.2353,19.1938,19.0533,20.239,19.6103,20.2871,18.9144,19.0894,18.741,17.6123,18.7575,20.4649,13.7092,18.174515
44.8989,49.27,42.277,58.8502,44.564,63.9297,53.0715,47.6965,60.0407,58.7892,51.0145,56.0292,60.9749,54.3761,50.9636,65.2823,45.2269,59.3486,56.9439,54.3995,65.2823,42.277,53.89736
43.089,43.1255,41.3985,57.1229,38.2277,70.0293,55.3891,54.0097,56.5983,54.1963,59.7876,55.2725,61.9365,59.0718,51.2769,62.3433,59.2383,61.7446,57.6114,55.4244,70.0293,38.2277,54.84468
45.1769,39.4449,34.9879,50.0046,47.9387,55.245,56.5599,57.5867,53.9792,47.9181,59.6279,57.2268,56.5403,56.8757,60.0417,49.9106,51.4642,56.285,60.0199,58.612,60.0417,34.9879,52.7723
5.89842,6.15183,6.16832,9.33995,5.92824,9.62995,8.75892,8.77995,8.13343,8.65758,9.12317,8.98658,8.32085,8.62,9.41185,10.3252,8.80118,8.68457,8.92714,10.0794,10.3252,5.89842,8.4363265
5.93908,6.34658,5.85391,9.25989,7.35739,10.6238,9.05899,9.06501,9.21845,8.58816,7.82529,9.02,9.95561,8.05215,8.77598,8.95636,9.41856,8.55202,8.51463,7.43462,10.6238,5.85391,8.390824
6.66702,6.30453,6.74357,8.7885,6.61928,9.9973,8.27006,8.77008,8.83985,8.38932,8.42586,7.89622,8.37839,9.86002,8.7205,9.32436,8.86411,7.97958,9.79657,8.61268,9.9973,6.30453,8.36239
19.8725,19.1322,18.6251,27.8475,21.1746,30.8122,26.7506,23.7906,25.9538,27.7897,25.9441,28.5602,24.4133,27.124,26.987,30.7732,25.5642,26.8656,25.1096,23.7678,30.8122,18.6251,25.34289
18.3593,16.5346,19.7565,27.5146,19.9145,29.9375,27.4075,28.5067,27.9297,24.55,23.3702,31.1193,28.7504,26.1285,27.5282,30.5397,28.5973,26.1484,25.4596,25.619,31.1193,16.5346,25.683575
21.3756,17.82,20.5707,28.4671,19.978,31.4897,25.7275,28.2557,25.2158,27.3256,24.4769,26.6311,26.3668,23.9911,25.5643,27.0228,27.6582,28.4069,27.0613,25.5521,31.4897,17.82,25.44786
61.1031,55.0069,52.9003,79.9258,49.3711,96.8998,73.4511,84.8885,76.4198,78.5457,67.7843,68.2193,81.8847,70.184,79.5949,79.6461,85.0789,84.1063,84.4206,76.319,96.8998,49.3711,74.28751
55.8876,54.4949,55.2311,73.153,76.3379,70.3207,85.6242,75.6719,97.8346,74.3141,75.7232,74.1966,83.5357,72.971,72.5532,75.4973,78.1029,73.5817,88.4971,76.8958,97.8346,54.4949,74.521225
58.3697,51.7364,53.9864,70.2341,79.5107,88.7388,72.4186,83.0797,79.9014,73.7001,89.5988,78.6534,78.8938,79.565,77.583,76.4211,84.8341,70.7715,81.0835,76.2992,89.5988,51.7364,75.268965
7.43782,7.88562,8.43263,11.1111,11.5703,11.5367,10.421,10.6097,11.8012,10.475,10.7371,9.8738,10.0859,10.5559,10.1599,9.79543,10.5367,10.7013,12.018,9.58197,12.018,7.43782,10.2663535
8.31628,7.37678,8.31364,11.2377,11.4148,11.036,9.86624,12.1796,12.0572,10.6282,11.3121,10.898,11.2434,10.3187,10.7565,11.8734,10.3863,11.0812,11.6806,10.4021,12.1796,7.37678,10.618937
7.18389,7.74777,8.36415,11.4348,11.9016,10.9567,11.1911,11.727,11.8283,10.4066,10.2855,10.8326,12.4002,11.6626,10.2842,12.0286,10.4077,11.2305,10.1711,12.2861,12.4002,7.18389,10.7165505
25.1067,21.8689,24.7154,35.9467,31.3595,32.6072,32.1511,32.65,36.1945,33.742,33.179,35.845,30.7558,33.3681,27.9673,38.4114,34.3035,32.2588,35.4609,29.4256,38.4114,21.8689,31.86587
26.2653,25.2779,23.8172,31.3987,34.9226,30.6277,31.1291,35.9649,37.061,29.8386,34.745,34.4499,36.2063,34.5563,33.3042,34.7874,31.5642,31.1607,37.3797,28.6743,37.3797,23.8172,32.15655
24.7192,23.4478,24.1093,36.4331,32.2597,28.8554,31.5265,31.9903,36.6778,33.7259,34.6531,30.6171,34.1511,29.3313,32.7757,34.0477,29.952,31.979,33.238,30.1323,36.6778,23.4478,31.231115
