Tiempo,Solución
0.118998,283
0.143616,252
0.136155,241
0.396317,291
0.424934,268
0.392318,254
1.0888,302
1.11477,262
1.28148,261
0.189581,278
0.181965,235
0.202925,247
0.512668,310
0.482168,256
0.494821,252
1.39533,306
1.70291,267
1.60823,271
0.215966,272
0.210151,261
0.211501,244
0.642991,298
0.646565,256
0.622044,290
1.84971,321
1.93883,273
1.88077,260
0.128679,261
0.133116,244
0.13386,244
0.347031,288
0.424443,251
0.44458,257
1.1766,302
1.07769,264
1.16413,252
0.185757,280
0.170552,249
0.171034,248
0.498224,307
0.565761,261
0.531183,263
1.60796,323
1.45031,267
1.65327,264
0.23344,293
0.233976,252
0.225125,241
0.641381,300
0.62174,256
0.567691,247
1.84628,301
1.89906,276
1.8027,260
0.12496,295
0.129184,257
0.151827,250
0.408848,302
0.369638,264
0.420152,267
1.25999,300
1.24501,261
1.02018,256
0.19523,277
0.190161,244
0.179257,243
0.597622,303
0.487428,267
0.467635,260
1.44315,304
1.5473,271
1.55115,256
0.181662,305
0.195268,252
0.223523,254
0.702698,274
0.662863,256
0.594048,271
1.90112,310
1.95223,270
1.81738,263
0.120691,277
0.137439,252
0.114721,241
0.403165,292
0.355003,258
0.376372,254
1.17757,305
1.01857,262
1.04346,252
0.176564,286
0.190604,260
0.174978,261
0.533644,287
0.492463,250
0.559175,257
1.5009,311
1.48493,266
1.51557,254
0.211799,272
0.218892,244
0.237691,239
0.628018,304
0.691219,271
0.67958,253
1.91312,307
1.64904,264
1.59282,258
0.141779,290
0.116526,243
0.107535,247
0.386691,282
0.451041,269
0.410091,250
1.01484,307
1.14004,271
1.24533,273
0.181336,268
0.163381,250
0.184409,254
0.557467,315
0.599126,266
0.516141,254
1.56488,298
1.74988,272
1.42852,260
0.230037,275
0.22757,262
0.218028,248
0.614213,282
0.69282,258
0.689135,255
1.91245,304
2.0001,269
2.00825,256
0.137832,269
0.135032,254
0.133904,239
0.373737,287
0.383566,256
0.398462,261
1.16207,292
1.18373,264
1.0054,260
0.173463,257
0.173369,250
0.185031,249
0.522487,288
0.52506,264
0.601918,254
1.60686,306
1.56971,287
1.45335,263
0.222855,274
0.208487,253
0.221344,248
0.599016,290
0.692635,258
0.652609,255
1.93022,318
1.97857,267
2.17035,263
0.122956,286
0.106968,236
0.13821,253
0.432432,289
0.375794,254
0.383389,270
1.32438,304
1.12155,258
1.12577,267
0.174638,270
0.189321,245
0.173338,239
0.592837,299
0.553245,260
0.638531,254
1.76642,303
1.55136,267
1.51129,259
0.202811,275
0.225779,250
0.203439,241
0.675531,279
0.640217,262
0.637126,248
1.89121,296
1.7318,271
1.96385,250
0.138154,282
0.12567,272
0.151979,250
0.395413,290
0.39028,245
0.419597,245
1.24143,290
1.16293,262
1.12218,256
0.191093,293
0.184121,245
