Tiempo,Solución
0.352643,252
0.533769,272
1.58401,284
0.356607,257
0.548174,272
1.6087,294
0.351482,251
0.538405,276
1.60231,293
1.60845,282
2.55763,284
8.05395,289
1.61271,265
2.53625,285
8.03564,295
1.60662,271
2.51072,296
7.958,289
3.73149,290
6.13932,287
20.4739,316
3.73183,284
5.95787,301
19.5961,306
3.71731,281
6.04884,287
19.9486,300
0.3679,276
0.551716,267
1.60689,294
0.364421,263
0.543283,271
1.61097,291
0.36225,266
0.543697,269
1.61248,291
1.62629,298
2.541,282
8.29158,286
1.63361,289
2.5425,287
8.17351,296
1.63157,292
2.56959,312
8.1337,283
3.79905,282
6.23409,290
20.4897,301
3.68102,298
6.05694,285
19.4571,300
3.68421,280
5.99216,309
20.0056,293
0.359869,270
0.541122,283
1.60942,308
0.367331,274
0.551255,260
1.6038,289
0.371386,261
0.541759,279
1.60255,291
1.63032,276
2.54696,291
8.21409,288
1.59914,276
2.5244,298
7.98886,292
1.61023,280
2.57155,270
8.16612,302
3.75449,273
6.18388,287
20.613,304
3.68293,278
5.98692,301
20.1987,303
3.74742,281
5.93812,294
20.049,303
0.362254,252
0.537322,284
1.57599,296
0.353122,257
0.526088,263
1.57577,291
0.366282,270
0.543107,284
1.56719,293
1.57832,268
2.48713,298
7.96445,293
1.57374,274
2.41908,297
7.81723,305
1.59004,279
2.42663,303
7.94534,303
3.68981,285
6.04889,293
20.4114,300
3.7066,278
5.97218,285
19.5566,301
3.58918,298
5.92888,280
19.487,310
0.353614,296
0.531873,271
1.58046,285
0.367327,272
0.544739,283
1.58636,290
0.362602,281
0.528623,269
1.55751,290
1.58335,284
2.50738,272
7.86406,296
1.57677,270
2.50625,274
7.74612,309
1.54972,276
2.44885,280
7.75207,291
3.6562,278
6.05373,288
20.1819,305
3.69974,273
5.81856,285
19.1863,306
3.62867,296
5.91841,290
19.5389,308
0.343926,293
0.525158,274
1.58219,286
0.35592,261
0.529288,278
1.57332,282
0.353663,276
0.527593,273
1.5435,286
1.58474,284
2.45384,291
7.66039,287
1.5311,271
2.44379,280
7.76215,301
1.54862,282
2.41865,283
7.84889,297
3.58943,292
5.88928,303
19.7508,304
3.50427,285
5.68214,300
19.1308,306
3.64034,289
5.9831,294
19.57,278
0.343198,280
0.515509,273
1.52809,289
0.34528,260
0.529077,284
1.56218,270
0.346664,274
0.518204,287
1.53615,289
1.57085,273
2.46826,293
7.91403,292
1.56335,287
2.38223,273
7.59274,308
1.52888,289
2.44806,289
7.58603,299
3.71124,281
6.04564,288
19.8485,309
3.76099,299
6.08083,279
19.2176,300
3.65802,300
5.96609,299
19.8249,291
0.356763,268
0.532684,277
1.58823,296
0.365737,255
0.53515,289
1.59099,281
0.362848,277
0.540368,282
1.56245,279
1.56722,301
2.48487,282
7.84169,285
1.56789,294
2.42357,291
7.7373,291
1.55403,273
2.40176,295
7.82675,308
3.65245,285
5.91542,309
19.6735,291
3.65273,301
5.79985,297
19.1106,300
3.57148,293
5.72072,298
19.5515,306
0.347583,267
0.518395,289
1.57168,287
0.349728,252
0.529562,280
1.56059,286
0.349401,273
0.522137,281
1.54592,289
1.56764,283
2.41769,300
7.67764,299
1.54986,286
2.43421,277
7.7295,288
1.57348,280
2.45512,297
7.72207,306
3.55787,279
5.82795,301
19.9806,310
3.60455,290
5.76305,303
19.1541,310
3.55571,294
5.79987,273
18.8607,304
0.346739,286
0.519955,262
1.54015,277
0.349935,274
0.52039,276
1.54181,280
0.345548,268
0.521606,292
1.54711,283
1.56477,278
2.44454,292
7.79225,313
1.56394,289
2.43822,290
7.81729,284
1.56355,277
2.41586,269
7.70742,294
3.57182,277
5.85293,294
19.5225,315
3.53429,283
5.68038,303
19.1158,293
3.54074,298
5.71339,296
18.6782,297
0.347596,275
0.518551,268
1.5365,277
0.346483,270
0.517882,271
1.53516,283
0.349038,276
0.519726,270
1.54007,298
1.55822,290
2.4193,284
7.80458,292
1.5612,273
2.40768,282
7.53661,295
1.51841,276
2.40353,278
7.50685,306
3.59698,297
5.87443,303
19.61,306
3.54893,274
5.61544,297
18.6652,297
3.51542,278
5.76682,294
18.7316,293
0.348057,275
0.52405,278
1.5426,286
0.348486,286
0.513131,274
1.52281,282
0.345724,257
0.517063,274
1.53641,293
1.5594,278
2.44097,286
7.79069,294
1.53094,292
2.42146,286
7.69917,301
1.55658,285
2.43505,290
7.60768,285
3.55705,283
5.85882,293
19.5167,305
3.49315,295
5.70503,300
18.9068,321
3.54641,282
5.58286,285
18.2311,313
0.347266,278
0.518938,297
1.54254,288
0.34805,269
0.521145,266
1.52867,278
0.348924,269
0.516851,271
1.54111,286
1.55394,278
2.43552,288
7.72771,306
1.56464,273
2.37903,299
7.6422,291
1.52691,289
2.39624,282
7.54163,317
3.59246,286
5.84196,287
19.9812,307
3.54581,290
5.6777,295
18.8135,297
3.54231,295
5.70734,286
18.8496,301
0.345858,267
0.523184,289
1.53754,286
0.345669,262
0.518095,272
1.53542,280
0.343143,259
0.51637,273
1.52753,285
1.54401,280
2.42471,285
7.82297,296
1.54378,290
2.38346,294
7.7699,291
1.54574,285
2.39548,282
7.68675,296
3.55123,279
5.83992,297
19.6617,298
3.5201,297
5.94682,301
19.3317,295
3.49913,285
5.73365,300
19.8257,301
0.353295,272
0.531708,290
1.5639,293
0.353694,268
0.526523,269
1.59787,290
0.36386,260
0.545953,263
1.57139,291
1.57031,277
2.4959,303
7.86861,291
1.558,300
2.44504,299
7.68805,302
1.58007,282
2.45964,284
8.22425,298
3.78412,289
6.19574,296
20.9759,314
3.77968,295
6.14467,298
20.3853,303
3.76795,286
6.08272,288
20.2011,309
0.366105,271
0.548837,264
1.61596,299
0.361902,265
0.544917,265
1.6063,291
0.365809,271
0.544351,285
1.60545,276
1.63775,280
2.55391,283
8.07509,296
1.61829,290
2.52299,279
7.98301,302
1.62136,287
2.5264,290
8.44284,314
3.7908,274
6.39544,305
21.8393,283
4.29083,295
6.4277,290
20.2247,307
3.64741,280
6.0717,294
19.1978,301
0.361797,264
0.542535,271
1.58872,278
0.358424,266
0.534747,268
1.5863,289
0.357154,261
0.535613,267
1.58561,293
1.61022,291
2.51694,299
8.0016,296
1.60713,273
2.47975,284
7.96363,298
1.59487,280
2.51098,288
7.95701,298
3.73279,285
6.09594,289
19.9729,293
3.67855,269
5.94026,298
21.2654,309
4.01543,295
6.30846,289
19.9234,311
0.388157,271
0.562037,273
1.67076,292
0.369568,268
0.564269,279
1.64566,288
0.372574,278
0.624317,282
1.68634,298
1.72905,279
2.64788,287
8.29516,296
1.60751,286
2.54088,281
8.21721,300
1.67443,282
2.76464,287
8.17731,306
3.78278,281
6.12619,287
20.4924,293
3.62674,284
6.04759,300
20.1729,314
3.64965,282
6.12832,281
19.8406,304
0.359735,275
0.539091,253
1.60788,293
0.36213,279
0.540423,273
1.59794,288
0.364872,270
0.543474,271
1.60604,294
1.63176,274
2.51092,288
7.99267,315
1.60997,290
2.52005,285
7.94578,298
1.60343,273
2.51721,295
8.00626,309
3.75948,313
6.14853,281
20.4071,302
3.70227,280
5.99436,286
20.2268,297
3.74602,294
5.90432,297
19.9499,305
0.353788,253
0.53903,283
1.59848,281
0.362676,276
0.541384,273
1.60573,294
0.362694,270
0.53972,283
1.60194,278
1.62666,301
2.54559,289
8.09454,297
1.61901,281
2.52304,280
8.06994,288
1.62219,277
2.52553,287
8.01301,298
3.77497,284
6.17642,297
20.4517,294
3.79504,280
6.1152,285
19.8124,301
3.68759,294
5.82642,282
19.7476,304
