Tiempo,Solución
0.402717,3852
0.395756,3745
0.428842,3679
0.568944,3717
0.526384,3737
0.542689,3694
0.62944,3695
0.636643,3770
0.641031,3743
3.81737,3961
3.8892,3799
3.81642,3785
3.91616,3846
3.99285,3837
4.0432,3759
4.10443,3814
3.94825,3807
4.21363,3759
13.4475,4130
13.3502,3884
13.0224,3777
13.6765,3972
13.1097,3869
13.1892,3809
13.434,3962
14.5078,3809
16.2012,3763
0.389728,3808
0.392495,3742
0.393744,3707
0.513675,3697
0.630258,3733
0.666334,3716
0.870314,3728
0.809147,3694
0.643351,3686
3.80173,3990
5.7261,3842
4.12944,3733
4.37852,3880
4.13807,3845
4.17383,3767
4.10471,3842
4.15336,3790
4.05301,3769
12.6791,4117
12.2669,3914
12.3128,3749
12.4046,3981
12.3546,3830
12.5778,3751
12.5619,3939
12.4369,3806
13.4579,3790
0.540092,3767
0.918835,3835
0.740861,3732
0.660195,3713
0.657364,3763
0.64738,3689
0.652019,3698
0.611966,3690
0.606268,3699
3.66633,4037
3.7812,3863
5.16347,3792
4.1746,3849
4.55299,3776
3.98769,3759
4.26869,3852
4.17768,3858
4.1993,3824
14.1643,4173
13.4,3979
13.3541,3775
12.8725,4048
12.737,3840
12.7341,3793
12.9391,3916
12.7808,3803
12.9137,3792
0.383208,3801
0.38224,3730
0.382677,3686
0.499821,3821
0.500935,3753
0.499013,3691
0.602618,3705
0.604066,3723
0.603513,3698
3.60103,4010
3.60907,3808
3.60453,3779
3.71787,3828
3.75432,3774
3.75853,3715
3.87462,3849
3.88234,3747
3.83218,3777
12.6587,4163
12.6933,3866
12.6548,3780
12.6613,3994
12.7336,3855
12.7345,3782
13.2558,3953
12.9062,3849
12.7551,3783
0.38863,3732
0.384545,3716
0.385963,3657
0.501357,3728
0.501255,3724
0.503249,3637
0.60725,3672
0.60178,3683
0.602953,3745
3.62632,4009
3.64135,3821
3.61995,3814
3.72407,3850
3.74563,3792
3.73349,3708
3.83039,3847
3.85001,3784
3.84127,3722
12.6416,4047
12.6472,3898
12.5822,3765
12.7161,3979
12.6545,3878
12.8047,3822
12.7943,3965
12.478,3874
12.1823,3799
0.367092,3720
0.365668,3673
0.367329,3733
0.478707,3709
0.478072,3725
0.480163,3672
0.578028,3715
0.575863,3787
0.574142,3737
3.41678,3945
3.43354,3802
3.43645,3745
3.54483,3867
3.54904,3807
3.59305,3732
3.82284,3799
3.72606,3831
3.68109,3751
12.352,4093
12.458,3870
12.7203,3825
12.614,3989
12.5064,3830
12.2135,3774
12.2228,3983
14.3271,3812
13.7914,3777
0.400748,3910
0.440896,3790
0.497485,3686
0.618912,3721
0.551938,3690
0.488446,3720
0.587361,3672
0.579212,3732
0.582773,3715
3.48629,4011
3.47174,3870
3.68882,3771
3.60897,3884
3.96942,3832
4.49237,3736
3.90891,3818
4.41838,3814
4.06879,3809
11.6096,4099
11.665,3903
12.0753,3767
12.4484,4014
12.038,3844
11.8391,3825
11.8152,3973
12.2167,3847
12.3225,3765
0.365524,3782
0.361851,3745
0.359812,3811
0.471293,3734
0.466217,3739
0.467213,3702
0.59037,3698
0.580983,3760
0.56117,3704
3.46342,3982
3.36787,3761
3.39444,3727
3.73613,3860
3.51496,3815
3.43471,3733
3.52411,3880
3.59399,3766
3.52542,3790
11.5388,4078
11.942,3867
11.9208,3768
12.1071,4008
12.1381,3851
11.9917,3759
12.2194,3975
12.1241,3813
12.7012,3772
0.362556,3879
0.360861,3745
0.365306,3757
0.484662,3689
0.478987,3688
0.477999,3740
0.577574,3755
0.59543,3735
0.598646,3749
3.69676,4013
4.04913,3812
4.56126,3733
3.95326,3841
4.02159,3831
4.21858,3768
4.24854,3809
4.51726,3821
3.89218,3800
14.1242,4152
13.099,3900
14.3083,3811
14.3702,3961
12.5163,3835
14.7067,3784
15.0194,3971
14.1618,3819
14.5827,3780
0.384181,3828
0.380694,3804
0.393419,3697
0.500975,3709
0.507906,3779
0.527132,3703
0.620243,3713
0.614918,3692
0.61583,3710
3.64846,3957
4.02914,3807
3.68318,3807
4.17154,3875
4.34161,3769
3.89284,3735
3.96212,3842
4.28324,3775
4.08943,3795
13.5822,4133
14.5308,3865
15.4813,3772
13.7808,3972
13.8756,3842
14.1908,3773
13.8038,3978
12.6792,3819
12.36,3779
0.367558,3824
0.36857,3679
0.394159,3671
0.498747,3697
0.501256,3719
0.512429,3703
0.607971,3670
0.598367,3685
0.597032,3670
3.51063,4027
3.47939,3802
3.47789,3789
3.57886,3854
3.5887,3805
3.60937,3777
3.68714,3827
3.66293,3806
3.68298,3778
12.2284,4095
12.0963,3885
12.0953,3812
12.1972,3991
12.151,3825
12.1264,3813
12.1844,3927
12.2712,3809
12.251,3808
0.366165,3779
