Tiempo,Solución
107.245,4006
107.464,3934
108.046,4000
106.946,3985
107.312,3951
265.581,4025
266.391,4004
266.887,4021
265.255,3978
265.175,4059
532.041,4046
526.919,4037
529.046,4102
530.685,4070
531.419,4063
107.705,3920
107.352,4013
107.563,3998
107.974,3958
107.453,3944
268.187,4019
265.73,4043
269.77,4053
265.63,4072
266.695,3981
528.183,4029
528.916,4011
530.394,4077
528.115,4047
530.607,4081
107.184,3958
106.63,3921
108.365,3921
106.644,3849
107.869,3956
264.919,3977
264.882,3965
265.916,3993
266.302,4016
265.508,4002
525.361,4007
527.824,3972
529.534,4002
528.942,4039
528.835,4046
110.926,4011
110.887,3959
111.159,3973
111.014,3983
110.936,3964
275.865,3966
276.086,3994
275.281,4007
275.219,3982
275.251,4010
549.859,4022
550.123,4027
550.54,4028
552.035,4023
550.275,3989
110.482,3957
110.667,3925
111.113,3930
110.701,3953
111.565,3949
276.402,3953
276.202,3997
276.385,3926
276.714,3922
275.84,3913
551.728,3991
550.81,3961
552.213,3992
553.128,3972
551.936,4054
111.042,3895
110.971,3962
110.894,3922
110.962,3909
110.869,3889
277.319,3902
276.035,3975
277.697,3957
276.918,3961
275.823,3956
552.187,3998
552.878,3992
552.028,4008
552.634,3985
550.43,3994
111.976,3902
111.801,3921
111.973,3885
111.903,3958
112.09,3921
279.055,3931
279.194,3914
279.366,3887
279.047,3922
278.696,3935
556.98,3999
557.155,3977
558.189,4011
557.912,3972
557.288,3987
112.244,3880
112.276,3888
112.302,3873
112.133,3915
112.377,3858
279.286,3899
278.873,3922
279.852,3909
279.686,3904
279.698,3935
559.016,3938
559.24,3941
558.477,3931
558.498,3983
557.864,3970
112.149,3929
112.249,3933
112.126,3861
112.301,3875
112.513,3851
279.787,3884
279.712,3921
279.846,3875
279.785,3933
279.595,3928
558.27,3918
558.784,3955
558.907,3915
558.489,3944
558.768,3928
106.842,3954
107.536,4020
107.346,3981
108.013,3999
106.826,3950
264.635,4041
267.014,3985
266.494,4023
265.411,4011
266.824,4014
528.16,4084
529.143,4062
529.692,4089
529.471,4081
529.573,4068
108.057,3998
108.221,4018
107.574,3904
106.976,3926
106.999,3959
266.693,4026
266.339,4024
263.986,3995
267.448,4021
265.203,4008
530.9,4003
529.916,4054
532.672,4050
527.475,3998
527.642,4051
106.823,3976
107.002,3960
106.935,3925
106.982,3978
108.035,3963
266.755,3990
266.024,4023
265.559,4029
267.095,3975
265.464,3914
528.865,4003
527.807,3973
527.151,4032
529.33,4006
527.958,3997
110.761,3990
110.829,3964
111.056,3977
111.176,3929
110.9,3962
275.562,4004
276.05,3958
275.717,3993
275.765,4025
275.206,3994
551.273,4019
551.248,4074
549.914,4023
551.39,3986
550.497,4004
110.76,3970
110.783,3949
110.875,3949
110.772,3950
110.68,3995
276.034,3972
276.272,4028
276.66,3999
276.015,3952
275.738,3938
550.519,3983
551.695,3987
551.205,4006
552.915,3992
551.532,4009
111.215,3935
110.906,3907
110.925,3878
110.907,3926
111.27,3937
276.59,3922
276.468,3910
276.678,3960
276.448,3988
276.468,3948
553.008,3999
551.357,3983
550.673,3989
552.896,4019
549.992,3982
111.807,3899
112.215,3905
111.808,3909
112.021,3915
112.115,3939
278.645,3952
278.647,3974
279.007,3967
278.395,3935
278.958,3965
556.913,3925
557.245,3981
556.846,3975
557.865,3940
557.87,3960
112.105,3884
